,CodigoPedido,SKU,NomeProduto,Marca,valorTotal,Mes,Ano
2884,61689432,STH8141/30,Stella - Lamp Led G9 4W 325Lm 127V Sth8141/30 (Caixa com 10 Unidades) Preço por Unidade,Stella,243.42,7,2021
2885,60969490,STH8261/24,"Stella - Lamp Led Bulbo Vintage Dim E27 4,5W 127V 350Lm Sth8261/24 (Caixa com 10 Unidades) Preço por Unidade",Stella,355.12,7,2021
2886,60229858,STH8271/24,"Stella - Lamp Led St64 Vintage Dim E27 4,5W 127V 350Lm Sth8271/24 (Caixa com 10 Unidades) Preço por Unidade",Stella,53.29,7,2021
2887,60969490,STH8434/27,"Stella - Lamp Led Ar70 Eco 4,8W 24° 300Lm Sth8434/27 (Caixa com 10 Unidades) Preço por Unidade",Stella,177.56,7,2021
2888,61417496,STH8536/27,Stella - Lamp Led Gu10 Eco 7W 36° 540Lm Sth8536/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,56.94,7,2021
2889,61689432,STH8536/27,Stella - Lamp Led Gu10 Eco 7W 36° 540Lm Sth8536/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,56.94,7,2021
2890,58764434,STH8536/30,Stella - Lamp Led Gu10 Eco 7W 36° 540Lm Sth8536/30 (Caixa com 10 Unidades) Preço por Unidade,Stella,310.68,6,2021
2891,61417496,STH9020/27,"Stella - Lamp Led Par20 Eco 5,5W 25° 525Lm Sth9020/27 (Caixa com 10 Unidades) Preço por Unidade",Stella,85.08,7,2021
2892,61689432,STH9020/27,"Stella - Lamp Led Par20 Eco 5,5W 25° 525Lm Sth9020/27 (Caixa com 10 Unidades) Preço por Unidade",Stella,85.08,7,2021
2893,61689432,STH20904BR/40,Stella - Plafon Deep Led 24W 1800Lm Quadrado Branco Sth20904Br/40 Preço por Unidade,Stella,572.4,7,2021
2894,61417496,STH20915PTO,Stella - Plafon Direcionável Square Out Mr16 Sth20915Pto (Caixa com 10 Unidades) Preço por Unidade,Stella,346.46,7,2021
2895,61689432,STH20915PTO,Stella - Plafon Direcionável Square Out Mr16 Sth20915Pto (Caixa com 10 Unidades) Preço por Unidade,Stella,346.46,7,2021
2896,58764434,STH20916,Stella - Kit Grade Para Linha Square Mr16 Sth20916 (Caixa com 10 Unidades) Preço por Unidade,Stella,82.74,6,2021
2897,61417496,STH20916,Stella - Kit Grade Para Linha Square Mr16 Sth20916 (Caixa com 10 Unidades) Preço por Unidade,Stella,15.16,7,2021
2898,61689432,STH20916,Stella - Kit Grade Para Linha Square Mr16 Sth20916 (Caixa com 10 Unidades) Preço por Unidade,Stella,15.16,7,2021
